task,topology,mas_prompt,sample_idx,gold,prediction,correct,label_mode,num_repeated_trajectories,num_correct_trajectories,matu_uncertainty
medqa,sequential,role,0,c,c,1,first,10,10,2.8681486038420148
medqa,sequential,role,1,d,d,1,first,10,10,2.563227614023676
medqa,sequential,role,2,d,d,1,first,10,10,2.5051233244357687
medqa,sequential,role,3,c,c,1,first,10,10,2.781879633876539
medqa,sequential,role,4,c,a,0,first,10,6,3.2644089094226265
medqa,sequential,role,5,d,d,1,first,10,10,3.1491334107285804
medqa,sequential,role,6,a,a,1,first,10,10,2.3330511702697065
medqa,sequential,role,7,a,a,1,first,10,9,3.1126870003673024
medqa,sequential,role,8,c,c,1,first,10,10,2.4374051885878023
medqa,sequential,role,9,a,d,0,first,10,2,4.692719694198099
medqa,sequential,role,10,b,b,1,first,10,9,3.330123049617378
medqa,sequential,role,11,d,d,1,first,10,8,3.2144819787784913
medqa,sequential,role,12,d,d,1,first,10,10,3.1650798699696487
medqa,sequential,role,13,a,a,1,first,10,10,2.9340663986222495
medqa,sequential,role,14,a,a,1,first,10,10,2.637378886267082
medqa,sequential,role,15,c,c,1,first,10,10,2.7398058487043144
medqa,sequential,role,16,b,b,1,first,10,10,3.059293197602222
medqa,sequential,role,17,a,a,1,first,10,10,2.64660938089623
medqa,sequential,role,18,c,c,1,first,10,3,3.0571351787730436
medqa,sequential,role,19,a,a,1,first,10,10,2.4814492842197957
medqa,sequential,role,20,b,b,1,first,10,2,3.83420703131453
medqa,sequential,role,21,b,b,1,first,10,10,3.0339342069187194
medqa,sequential,role,22,b,b,1,first,10,10,2.712041788701332
medqa,sequential,role,23,d,c,0,first,10,2,3.055180678430415
medqa,sequential,role,24,b,c,0,first,10,0,4.197263986636716
medqa,sequential,role,25,d,d,1,first,10,9,3.3544096094019755
medqa,sequential,role,26,a,a,1,first,10,1,4.626945690566893
medqa,sequential,role,27,b,b,1,first,10,10,2.7934834336487167
medqa,sequential,role,28,c,c,1,first,10,10,2.632625403359135
medqa,sequential,role,29,a,b,0,first,10,0,3.2433550060386627
medqa,sequential,role,30,d,d,1,first,10,10,2.1798265965683514
medqa,sequential,role,31,b,b,1,first,10,10,2.887830130560049
medqa,sequential,role,32,d,d,1,first,10,10,2.9416762026293846
medqa,sequential,role,33,c,c,1,first,10,9,3.131976469282298
medqa,sequential,role,34,a,a,1,first,10,9,2.890702868641797
medqa,sequential,role,35,b,b,1,first,10,10,2.7334871114317787
medqa,sequential,role,36,d,d,1,first,10,10,2.901900306975253
medqa,sequential,role,37,b,b,1,first,10,4,3.906291729508123
medqa,sequential,role,38,d,d,1,first,10,10,2.5760721357717173
medqa,sequential,role,39,d,c,0,first,10,2,2.7707993491962535
medqa,sequential,role,40,a,c,0,first,10,0,4.2556631499327375
medqa,sequential,role,41,d,b,0,first,10,0,2.96721088933326
medqa,sequential,role,42,c,c,1,first,10,10,2.454295367988131
medqa,sequential,role,43,c,c,1,first,10,10,2.9144531865542995
medqa,sequential,role,44,a,a,1,first,10,10,2.4230901495512294
medqa,sequential,role,45,d,d,1,first,10,9,2.9285023375678607
medqa,sequential,role,46,d,c,0,first,10,3,3.308919607536743
medqa,sequential,role,47,a,a,1,first,10,10,3.0928340702320645
medqa,sequential,role,48,c,c,1,first,10,10,2.410465745781112
medqa,sequential,role,49,a,a,1,first,10,10,2.3263837262174794
medqa,sequential,role,50,c,c,1,first,10,10,2.259352860650501
medqa,sequential,role,51,c,c,1,first,10,10,2.6702954598618294
medqa,sequential,role,52,d,c,0,first,10,5,4.46808209129628
medqa,sequential,role,53,b,b,1,first,10,10,3.531655896110844
medqa,sequential,role,54,b,d,0,first,10,1,3.1195815048664577
medqa,sequential,role,55,d,b,0,first,10,0,2.5929752090166143
medqa,sequential,role,56,d,d,1,first,10,9,2.6876903107925374
medqa,sequential,role,57,c,c,1,first,10,10,2.762213762610524
medqa,sequential,role,58,a,a,1,first,10,10,2.840182468658398
